               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.026226,           0.0079457,           0.0018244,             0.95703,             0.89137,             0.92876,             0.46172,             0.02976,            0.011302,           0.0014046,             0.00307,             0.00307,             0.00307
                  37,            0.025814,           0.0078009,            0.001746,             0.96253,             0.88878,             0.93049,             0.47575,             0.02836,            0.011204,            0.001432,            0.002872,            0.002872,            0.002872
                  38,            0.025616,           0.0078003,           0.0016338,               0.948,             0.89952,             0.93142,             0.46589,            0.029233,             0.01126,           0.0016138,            0.002674,            0.002674,            0.002674
                  39,             0.02516,           0.0076748,           0.0016159,             0.93457,             0.90047,             0.92791,             0.46303,            0.028991,            0.011205,           0.0015371,            0.002476,            0.002476,            0.002476
                  40,            0.024815,           0.0075276,           0.0015805,              0.9484,             0.89552,             0.93113,              0.4668,            0.029076,            0.011114,           0.0014394,            0.002278,            0.002278,            0.002278
                  41,            0.024686,           0.0075652,            0.001567,             0.95013,             0.90487,             0.94034,             0.47075,            0.028571,             0.01095,           0.0014702,             0.00208,             0.00208,             0.00208
                  42,            0.024464,            0.007492,           0.0014881,             0.92649,             0.91141,             0.93444,             0.47498,            0.028718,             0.01097,           0.0013477,            0.001882,            0.001882,            0.001882
                  43,            0.023805,           0.0074536,            0.001378,             0.93743,             0.91263,             0.93543,             0.47972,            0.028261,            0.010951,           0.0013923,            0.001684,            0.001684,            0.001684
                  44,            0.023643,           0.0073505,           0.0014478,              0.9454,             0.91446,             0.93997,             0.47678,            0.028739,            0.011088,           0.0012199,            0.001486,            0.001486,            0.001486
                  45,            0.023467,            0.007423,           0.0013065,             0.94319,             0.90838,             0.93477,             0.47936,            0.028368,            0.010919,            0.001152,            0.001288,            0.001288,            0.001288
                  46,            0.022988,           0.0072087,           0.0013138,             0.94683,              0.9146,             0.93689,             0.46707,            0.028753,             0.01097,           0.0013202,             0.00109,             0.00109,             0.00109
                  47,            0.022798,           0.0072623,            0.001363,             0.94271,             0.91226,              0.9374,             0.47898,            0.028208,            0.010921,           0.0012544,            0.000892,            0.000892,            0.000892
                  48,            0.022506,            0.007163,           0.0012917,             0.95215,             0.90933,             0.94304,              0.4801,            0.028372,            0.010805,           0.0012779,            0.000694,            0.000694,            0.000694
                  49,            0.022065,           0.0071381,           0.0012367,             0.94549,             0.90918,             0.93968,             0.48339,            0.028286,            0.010747,           0.0012201,            0.000496,            0.000496,            0.000496
